hex_id,tipologia_label,morfologia_continua,espontaneo,dist_centro_km,vitalidad_vecinal,dim1,dim2,dim3,barrio_km2,pct_barrio,pct_host,div_actividad,terrazas_ext_km2,n_parques_500m,dist_mercado_km,n_mercados_500m,dist_parque_km,airbnb_ent_km2,vut_km2,renta_persona,densidad_pob_km2,log_renta,log_densidad,log_bc_mean,log_airbnb,ps,asoc_km2,socios_km2,n_asoc,n_mercadillos_1km,cv_pob,n_socios,d_asociativo,n_barrio,n_mdl,n_div,d_comercio,n_arraigo,d_arraigo,vit_comunitaria
89390cb1bc7ffff,Espontáneo,0.4824746524241627,1.0,1.0252216728133758,0.9136947880679074,0.8387384375348267,0.9591273821464392,0.9432185445224563,645.6532512123227,0.2430555555555555,0.3506944444444444,3.752942036130992,193.6959753636968,2.0,0.0704099572346865,1.0,0.2595375727239666,2619.507476347138,101.45979661907928,19833.84547677261,26320.78416061252,9.895145124890504,10.178152170399116,9.622905909669043,7.871123271261291,0.6062061853059593,119.90703236800279,17017.574978381934,0.995987963891675,3.0,0.0630896328407172,0.9562019391507857,0.9760949515212303,0.9682380474757606,0.993480441323972,0.9224339685723838,0.9613841524573722,0.20563847429519067,0.20563847429519067,0.7143725260912643
89390cb0033ffff,Espontáneo,0.1125489568303656,1.0,9.57795256212859,0.3035123890189085,0.2435083026858352,0.3317452357071213,0.335283628663769,0.0,0.0,0.0,0.0,0.0,0.0,3.720827364753087,0.0,1.4218121784016489,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.32012704781009693,0.0,,0.32012704781009693,0.32012704781009693,0.2626211969241056,0.371782012704781,0.20528251420929455,0.27989524127939375,,,0.3000111445447453
89390ca20a7ffff,Planificado,0.454437623885882,0.0,6.171407561931296,0.614287306363535,0.8050819124038783,0.5946171848879973,0.4431628217987295,193.8938490564717,0.2763157894736842,0.2368421052631578,3.693073075265828,36.93216172504224,0.0,1.538257670945112,0.0,1.3377402936585754,73.86432345008447,0.0,,,,,9.151947805759248,4.315677454616831,,9.233040431260559,55.39824258756335,0.7398863256435975,0.0,,0.6539618856569709,0.6969241056502842,0.8421932464058843,0.371782012704781,0.9077231695085256,0.7072328095397303,,,0.7020784575950072
89390ca0513ffff,Planificado,0.3554251781253352,0.0,8.03020139171286,0.3794438872172072,0.2435083026858352,0.3317452357071213,0.5630781232586649,0.0,0.0,0.0,0.0,0.0,0.0,1.0629545994544105,0.0,0.6957217482852307,0.0,0.0,,,,,7.781362533931559,0.0,,0.0,0.0,0.32012704781009693,0.0,,0.32012704781009693,0.32012704781009693,0.2626211969241056,0.371782012704781,0.20528251420929455,0.27989524127939375,,,0.3000111445447453
89390ca1c8bffff,Espontáneo,0.1774712449986606,1.0,11.363449333611054,0.272121921319514,0.2435083026858352,0.3317452357071213,0.2411122255655856,0.0,0.0,0.0,0.0,0.0,0.0,4.52652406958509,0.0,3.4957021516204767,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.32012704781009693,0.0,,0.32012704781009693,0.32012704781009693,0.2626211969241056,0.371782012704781,0.20528251420929455,0.27989524127939375,,,0.3000111445447453
89390cba897ffff,Espontáneo,0.270107340637564,1.0,5.872635130774129,0.3193376425573015,0.2435083026858352,0.3317452357071213,0.382759389278948,0.0,0.0,0.0,0.0,0.0,0.0,2.717314643441584,0.0,1.2649831283101878,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.32012704781009693,0.0,,0.32012704781009693,0.32012704781009693,0.2626211969241056,0.371782012704781,0.20528251420929455,0.27989524127939375,,,0.3000111445447453
89390ca3403ffff,Planificado,0.7654821858179095,0.0,1.857243785401721,0.8286711987815298,0.823693302128608,0.961384152457372,0.7009361417586092,184.45195423640067,0.4166666666666667,0.2916666666666667,3.201066721705593,92.22597711820032,3.0,1.122194318816666,0.0,0.1574682859691862,9.222597711820033,0.0,24926.0,6952.52786686887,10.123666714386324,8.847004416513839,9.1690298209192,2.3246007317162394,0.2184290963773157,9.222597711820033,350.45871304916125,0.6716817118020729,1.0,0.0500588190313502,0.7001003009027081,0.6858910063523905,0.8294884653961886,0.8538950183884988,0.792711467736543,0.8253649838404101,0.3092868988391376,0.3092868988391376,0.6068476296773128
89390cb2b07ffff,Espontáneo,0.3707780605491523,1.0,12.3441812106053,0.2717132880121847,0.2435083026858352,0.3317452357071213,0.2398863256435974,0.0,0.0,0.0,0.0,0.0,0.0,5.1348743717449,0.0,2.740616779091777,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.32012704781009693,0.0,,0.32012704781009693,0.32012704781009693,0.2626211969241056,0.371782012704781,0.20528251420929455,0.27989524127939375,,,0.3000111445447453
89390ca1453ffff,Espontáneo,0.5272632551001644,1.0,8.483081312647645,0.3837716854266503,0.3346149559790483,0.3317452357071213,0.4849548645937813,0.0,0.0,0.3333333333333333,1.0986122886681096,0.0,0.0,1.837444590088572,0.0,0.7706574830112463,9.223120908807374,0.0,,,,,7.774474293303642,2.3246519108405503,,0.0,0.0,0.32012704781009693,2.0,,0.32012704781009693,0.32012704781009693,0.2626211969241056,0.9775994650618522,0.47860247408893347,0.5729410453582972,,,0.44653404658419704
89390cb55dbffff,Espontáneo,0.1977769988534197,1.0,12.383195365212751,0.2564452617110591,0.2435083026858352,0.3317452357071213,0.1940822467402206,0.0,0.0,0.0,0.0,0.0,0.0,7.050563457611935,0.0,3.112713541805077,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.32012704781009693,0.0,,0.32012704781009693,0.32012704781009693,0.2626211969241056,0.371782012704781,0.20528251420929455,0.27989524127939375,,,0.3000111445447453
