hex_id,tipologia_label,morfologia_continua,espontaneo,dist_centro_km,vitalidad_vecinal,dim1,dim2,dim3,barrio_km2,pct_barrio,pct_host,div_actividad,terrazas_ext_km2,n_parques_500m,dist_mercado_km,n_mercados_500m,dist_parque_km,airbnb_ent_km2,vut_km2,renta_persona,densidad_pob_km2,log_renta,log_densidad,log_bc_mean,log_airbnb,ps
89390cb1b77ffff,Espontáneo,0.1351778521276497,1.0,0.5214256330845791,0.7747037408521863,0.675916638805305,0.9201771982614511,0.7280173854898028,73.79910848884053,0.08247422680412371,0.4948453608247423,3.1243125671109664,64.57421992773547,2.0,0.5061886130330244,0.0,0.31850122108877893,894.8141904271915,0.0,27854.0,6301.536375580218,10.234731861613037,8.748707430656719,7.241213516331161,6.797733014714031,0.4012422165576134
89390ca2057ffff,Espontáneo,0.11729243398734643,1.0,4.500856547753648,0.726364278019243,0.9455031761952525,0.642761618187897,0.5908280396745793,784.61332882938,0.45454545454545453,0.1497326203208556,3.9086843903196002,101.53819549556681,0.0,0.689657752152656,0.0,0.7541982867288427,83.07670540546376,9.23074504505153,11642.479413993433,47063.99323493685,9.362415706677467,10.759284760242585,7.530856258588545,4.431729541755593,0.8070187834861656
89390ca04c3ffff,Espontáneo,0.19488585894264715,1.0,5.389259318119883,0.6863739366246889,0.8541179092834058,0.6141758609160816,0.5908280396745793,249.21629994150481,0.36486486486486486,0.13513513513513514,3.6753673418536734,55.38139998700107,0.0,0.9471428250766346,0.0,0.6253502310182261,64.61163331816792,9.230233331166845,9544.0,22221.35001534739,9.163667963777751,10.008853818868051,9.387237135655608,4.183753017394861,0.89025827739159
89390cba847ffff,Espontáneo,0.48287510927043553,1.0,6.575020672572821,0.5440952487090902,0.24350830268583526,0.7198261451019725,0.6689512983394629,0.0,0.0,1.0,0.0,9.214973120606247,1.0,0.807789878246111,0.0,0.39930797157661624,0.0,0.0,16962.0,5113.699304091,9.738730826921646,8.539873889578715,6.408326622875864,0.0,0.44828991866796897
89390cb8d2bffff,Planificado,0.6979668209656347,0.0,7.120379348434131,0.5265333036145473,0.6357405549983284,0.33174523570712133,0.6121141201381923,9.220063107787828,0.5,0.5,0.6931471805599453,0.0,0.0,0.9803676969849899,0.0,0.528002116264238,0.0,0.0,,,,,8.138090336993153,0.0,
89390ca33b3ffff,Espontáneo,0.35715333750530315,1.0,5.3570202686339865,0.766428916378766,0.6917976150674244,0.8350050150451354,0.7724841190237378,73.81540608974626,0.3076923076923077,0.34615384615384615,2.5209215961804534,55.361554567309696,1.0,0.5229096697248526,0.0,0.12056216115941724,0.0,0.0,9868.0,28788.78942642865,9.197052477649247,10.26777606945751,4.003513442529635,0.0,0.7926414530661441
89390ca00a7ffff,Planificado,0.7658722120607431,0.0,9.002770874822136,0.9102492663174709,0.9272261228128831,0.8497158141089936,0.953805862030536,452.5062437583354,0.47572815533980584,0.14563106796116504,3.7763780842991608,64.64374910833364,1.0,0.1442892263772937,1.0,0.20406341839517822,0.0,0.0,17666.52119487909,43630.34365886999,9.77942666958012,10.683531062317066,4.180162141780678,0.0,0.3280224249780184
89390cb8cb3ffff,Espontáneo,0.3464431240683546,1.0,7.31169582131303,0.6662766076005795,0.6398083138303802,0.8207957204948177,0.5382257884765407,36.86498982139908,0.23529411764705882,0.47058823529411764,2.5577938601077324,46.081237276748844,1.0,2.2118630147094254,0.0,0.4683161219989002,9.21624745534977,0.0,,,,,7.33767217180363,2.3239793407694753,
89390ca1403ffff,Planificado,0.5909510965564955,0.0,8.145553893395162,0.4476485010587317,0.24350830268583526,0.5547475760615179,0.5446896244288421,0.0,0.0,0.0,0.0,0.0,1.0,2.4483938657907234,0.0,0.4090877008564543,0.0,0.0,,,,,4.161482955401938,0.0,
89390cb0b07ffff,Espontáneo,0.47222905381659086,1.0,7.3438421125850875,0.6370593261265277,0.8343363423604145,0.5934470076897359,0.48339462832943275,147.71256853120593,0.43243243243243246,0.13513513513513514,3.3345041647630422,36.92814213280148,0.0,2.5109520388713036,0.0,0.6145311460797473,36.92814213280148,9.23203553320037,18217.0,22015.29438837393,9.81011050303083,9.99953811220862,8.604751483709823,3.635693373030084,0.4669774934207519
89390ca2b7bffff,Espontáneo,0.20344464911030327,1.0,12.968094887537601,0.2654351944723058,0.24350830268583526,0.33174523570712133,0.22105204502396078,0.0,0.0,0.0,0.0,0.0,0.0,4.813800383414534,0.0,4.553634280846471,0.0,0.0,,,,,3.1002775631851183,0.0,
89390ca342bffff,Planificado,0.8736033650594827,0.0,2.2011088523311737,0.7619153757569004,0.7286860581745236,0.8311601471079906,0.7258999219881868,55.3416909031706,0.42857142857142855,0.21428571428571427,2.4036404106149494,9.223615150528433,3.0,0.5010278179357277,0.0,0.3263592965108541,27.6708454515853,0.0,,,,,8.285366511119317,3.3558807685286847,
89390cb02cfffff,Planificado,0.5616343835392422,0.0,8.359580655959721,0.34324269103607113,0.3829822801738549,0.33174523570712133,0.31500055722723724,0.0,0.0,0.2,2.3025850929940455,0.0,0.0,4.066234532531463,0.0,1.582690549349428,0.0,0.0,,,,,2.44475873787522,0.0,
89390cb13b7ffff,Espontáneo,0.4138153725512287,1.0,6.28855936376381,0.3020264497195289,0.24350830268583526,0.33174523570712133,0.3308258107656302,0.0,0.0,0.0,0.0,0.0,0.0,4.461823305675816,0.0,1.1657299170837632,0.0,0.0,,,,,0.0,0.0,
89390ca2343ffff,Planificado,0.4523758594222805,0.0,5.943836014259528,0.7123221516401056,0.6615958988075338,0.778335005015045,0.6970355510977377,36.92908363901751,0.25,0.1875,2.772588722239781,18.464541819508757,1.0,0.9705352469665345,0.0,0.25122802885991535,0.0,0.0,13787.549204052099,15859.349258550763,9.531521232298969,9.671577516292574,8.158105688028044,0.0,0.5110534429227785
89390cb1a47ffff,Espontáneo,0.08555569832083784,1.0,2.5860294377956725,0.8033452208477284,0.8562353727850217,0.8352557673019058,0.7185445224562578,368.8124018423753,0.30303030303030304,0.12878787878787878,3.8611523078757313,18.440620092118767,2.0,0.6368251879898797,0.0,0.30284539677331757,156.74527078300952,27.66093013817815,13638.27571261877,37212.98332312278,9.520635509375644,10.524439865412988,7.13927565009625,5.060981521783408,0.756264071522102
89390cbab33ffff,Espontáneo,0.24202117766320294,1.0,5.447433927610465,0.5954251643820349,0.8639251086593113,0.33174523570712133,0.5906051487796723,193.58382472790734,0.7,0.16666666666666666,3.0602870926086956,0.0,0.0,1.2630955376548332,0.0,0.5121307512647527,36.873109471982346,0.0,8465.885506115013,43301.28195104279,9.043799897024739,10.675960613549805,7.709396779495521,3.6342413476525826,0.9107610002109556
