hex_id,bc_mean,bc_max,bc_sum,bc_n,log_bc_mean,log_bc_max
89390cb2b8bffff,0.004117990680119618,0.012224327670910607,0.012353972040358855,3,8.323363431777443,9.411265117330341
89390cb2b9bffff,0.00624170803321438,0.009117068356203637,0.02496683213285752,4,8.739169346903319,9.118013257587098
89390cb2bc7ffff,0.004623027370074396,0.013869082110223186,0.013869082110223186,3,8.439021329468432,9.537489433278607
89390cb2c23ffff,0.0007579992995638194,0.0007579992995638194,0.0007579992995638194,1,6.632000854554386,6.632000854554386
89390cb2c2fffff,0.0003947913018561559,0.0007895826037123118,0.0007895826037123118,2,5.9808870568182355,6.672770146714996
89390cb2c33ffff,0.00026845808526218605,0.00028424973733643224,0.0005369161705243721,2,5.596412850469256,5.653365067922944
89390cb2c37ffff,0.0003158330414849247,0.0003158330414849247,0.0003158330414849247,1,5.758374952118208,5.758374952118208
89390cb3247ffff,5.3378694914560434e-05,0.0001561335922824668,0.00037365086440192303,7,3.995972439551871,5.057096349790561
89390cb3263ffff,0.00011904476179047164,0.0011054156451972366,0.0015475819032761313,13,4.787864688149873,7.008880920884371
89390cb3267ffff,0.00031761596994492027,0.00031761596994492027,0.00031761596994492027,1,5.763986521596111,5.763986521596111
89390cb326bffff,3.947913018561559e-05,0.00015791652074246236,0.00015791652074246236,4,3.7007865372388538,5.068379037568446
89390cb326fffff,0.0006106105468708545,0.0018949982489095483,0.010990989843675381,18,6.416095718626386,7.547500759243627
89390cb3277ffff,0.00022197459326944507,0.0002860326657964278,0.00044394918653889014,2,5.407057833442277,5.659596027388853
89390cb327bffff,0.00016318040476721111,0.0010422490369002516,0.0039163297144130665,24,5.100965852303919,6.9500951962987
89390cb5003ffff,0.0011443641419126153,0.0016955012894393328,0.003433092425737846,3,7.0434778932994755,7.436323344282548
89390cb5007ffff,9.832486593924399e-05,0.00025209334904008405,0.0006882740615747079,7,4.598395951981594,5.53375838921325
89390cb500fffff,0.0002203699576554491,0.0007027285173039575,0.0033055493648317365,15,5.399835318454313,6.556392652954519
89390cb5023ffff,5.530615782454428e-05,8.538953803050081e-05,0.0004977554204208985,9,4.030803904378542,4.458866580868369
89390cb5027ffff,0.0006970956389275979,0.001332547995797383,0.009062243306058773,13,6.548356111897106,7.1955983353233535
89390cb502bffff,0.0008167191993802202,0.0019668884714572257,0.014700945588843963,18,6.706519000628401,7.584716404998829
89390cb502fffff,0.0008746820621124166,0.0017477156229106308,0.015744277118023498,18,6.7750030822626695,7.466636867693905
89390cb5033ffff,3.3896866078724785e-05,8.201470915979497e-05,0.0002033811964723487,6,3.5523970280051644,4.4190178108879135
89390cb5037ffff,0.0012821802668025089,0.0013137635709510014,0.0025643605336050177,2,7.157096858878754,7.1814121344933834
89390cb503bffff,0.00012184405743576683,0.00032022668661848517,0.0012184405743576683,10,4.81091572527597,5.772147062738639
89390cb5047ffff,0.002607469196727053,0.002607469196727053,0.002607469196727053,1,7.866518813585766,7.866518813585766
