PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
19734;"Mercadillo en la vía pública de la calle Aragoneses (Distrito Puente Vallecas)";"";"Lunes, de 9 a 14 horas.";"Alimentación, bazar, calzado, textiles y otros. Puestos: 67.   Más información";"Consulta los siguientes enlaces";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=aa6f92355c51c010VgnVCM2000000c205a0aRCRD";"ARAGONESES";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28018";"4";"PALOMERAS SURESTE";"13";"PUENTE DE VALLECAS";"445342";"4470394";"40.38235094929961";"-3.6439183252603784";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19731;"Mercadillo en la vía pública de la calle Ayerbe (Distrito Barajas)";"";"Sábados, de 9 a 14 horas.";"Puestos: 94.   Más información";"Consulta los siguientes enlaces";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b2af92355c51c010VgnVCM2000000c205a0aRCRD";"AYERBE";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28042";"3";"CASCO H.BARAJAS";"21";"BARAJAS";"450713";"4479883";"40.468162512600905";"-3.581382058279795";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19549;"Mercadillo en la vía pública de la calle Fontarrón (Distrito Puente de Vallecas)";"";"Jueves, de 9 a 14 horas.";"Alimentación, bazar, calzado, textiles y otros. Puestos: 79.   Más información";"Consulta los siguientes enlaces";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7def92355c51c010VgnVCM2000000c205a0aRCRD";"RAMON PEREZ DE AYALA";"CALLE";"V";"116";"";"";"";"";"MADRID";"MADRID";"28038";"6";"NUMANCIA";"13";"PUENTE DE VALLECAS";"444673";"4472216";"40.39871676300231";"-3.651962084808092";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19547;"Mercadillo en la vía pública de la calle Gandhi (Distrito Ciudad Lineal)";"";"Viernes, de 9 a 14 horas.";"Textil, alimentación y otros. Puestos: 60.   Más información";"Metro: García Noblejas (línea 7), La Almudena (línea 2).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=200092355c51c010VgnVCM2000000c205a0aRCRD";"GANDHI";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28017";"2";"PUEBLO NUEVO";"15";"CIUDAD LINEAL";"445951";"4475056";"40.42438983238803";"-3.637139601842289";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19736;"Mercadillo en la vía pública de la calle Gorrión (Distrito Carabanchel)";"";"Lunes, de 9 a 14 horas.";"Puestos: 18.   Más información";"Metro: Urgel (línea 5).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=852092355c51c010VgnVCM2000000c205a0aRCRD";"GORRION";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28019";"3";"SAN ISIDRO";"11";"CARABANCHEL";"438263";"4471959";"40.39595508351779";"-3.7274705077297305";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19531;"Mercadillo en la vía pública de la calle San Román del Valle (Distrito San Blas - Canillejas)";"";"Martes, de 9 a 14 horas.";"Alimentación y textil. Puestos: 80.   Más información";"Metro: Alsacia (línea 2).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5d7f92355c51c010VgnVCM2000000c205a0aRCRD";"SAN ROMAN DEL VALLE";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28037";"4";"ARCOS";"20";"SAN BLAS-CANILLEJAS";"447175";"4474858";"40.42268073354393";"-3.6227030730779854";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19537;"Mercadillo en la vía pública de la calle Santa Genoveva (Distrito Ciudad Lineal)";"";"Jueves y sábados, de 9 a 14 horas.";"Textil, alimentación y otros. Puestos: 68.   Más información";"Metro: La Elipa (línea 2).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bdc092355c51c010VgnVCM2000000c205a0aRCRD";"TRECE ROSAS";"AVENIDA";"V";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"";"DISTRITO";"444923";"4474395";"40.41835967826694";"-3.649210506493615";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19486;"Mercadillo en la vía pública de la calle Sierra Gorda (Distrito Villa de Vallecas)";"";"Martes, de 9 a 14 horas.";"Puestos: 116.   Más información";"Metro: Villa de Vallecas (línea 1).  Cercanías Renfe: Vallecas (línea C2 y C7).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=60e092355c51c010VgnVCM2000000c205a0aRCRD";"SIERRA GORDA";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28031";"1";"CASCO H.VALLECAS";"18";"VILLA DE VALLECAS";"447281";"4470153";"40.38029915699548";"-3.621065929549317";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19550;"Mercadillo en la vía pública de la calle Villablanca (Distrito Vicálvaro)";"";"Jueves, de 8 a 14 horas.";"Alimentación, textil y otros. Puestos: 112.   Más información";"Metro: San Cipriano (línea 9).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f28092355c51c010VgnVCM2000000c205a0aRCRD";"VILLABLANCA";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28032";"1";"CASCO H.VICALVARO";"19";"VICALVARO";"448361";"4473366";"40.40931170246993";"-3.6085969353358753";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
181296;"Mercadillo en la vía pública de la colonia Marconi (Distrito Villaverde)";"";"Domingos, de 9 a 14 horas.";"Alimentación. Puestos: 1.   Más información";"Cercanias Renfe: San Cristobal Industrial (línea C3).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=96645c2cdc41c010VgnVCM2000000c205a0aRCRD";"SAN EUSTAQUIO";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28021";"1";"VILLAVERDE ALTO C.H.";"17";"VILLAVERDE";"440388";"4465664";"40.339397815793035";"-3.7018456690681725";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
21199;"Mercadillo en la vía pública. El Rastro";"";"Todos los domingos y festivos, de 9 a 15 horas.  Ubicación del Rastro";"Puestos: 1200   Más información";"Metro: Tirso de Molina (línea 1), Embajadores (línea 3), La Latina (línea 5).  Cercanías Renfe: Embajadores (línea C5).";"Instalado en la plaza de Cascorro, entre la calle San Millán y Ribera de Curtidores y entre calle Embajadores hasta la esquina con la calle Encomienda - Ribera de Curtidores - calle Amazonas - plaza General Vara de Rey - calle Rodrigo de Guevara - calle Mira el Río Alta, entre calle Carlos Arniches y calle Bastero - calle Carnero, entre Ribera de Curtidores y calle Mira el Río Baja - callejón del Mellizo - calle Carlos Arniches - calle Mira el Río Baja - calle San Cayetano, desde número 4 hasta Ribera de Curtidores - calle Fray Ceferino González, hasta los números 9 y 10, inclusives - calle Mira el Sol, entre plaza Campillo del Nuevo Mundo y Ribera de Curtidores - Ronda de Toledo, desde Colegio Público Santa María 193 metros lineales en la acera de los impares - plaza Campillo del Mundo Nuevo - calle Ribera de Curtidores - calle Maldonadas en la acera de los impares. El Rastro en días laborables abre todos sus comercios, anticuarios y galerías, pero no sus puestos callejeros.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=781192355c51c010VgnVCM2000000c205a0aRCRD";"RIBERA DE CURTIDORES";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28005";"2";"EMBAJADORES";"";"DISTRITO";"439998";"4473475";"40.4097323014233";"-3.7071653016167003";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
12301182;"Mercadillos vecinales de Hortaleza. Calle Príncipe Carlos";"Mercadillo ocasional.";"Domingos, desde febrero hasta diciembre, de 9 a 16 horas, excepto meses de julio y agosto.";"Alimentación y textil. Puestos: 60.   Más información";"Consulta los siguientes enlaces";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eeca0bcdf55ed810VgnVCM2000001f4a900aRCRD";"PRINCIPE CARLOS";"CALLE";"V";"36";"";"";"";"";"MADRID";"MADRID";"28050";"6";"VALDEFUENTES";"16";"HORTALEZA";"444749";"4482498";"40.49135075229485";"-3.651967448366824";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
12300698;"Mercado tradicional de Navidad";"";"1 a 25 de diciembre aproximadamente.";"Puestos: 104 , 1 nacimiento y caseta taller.   Más información";"Metro: Sol (líneas 1, 2, 3),  Ópera (línea 2, 5, Ramal).  Cercanías Renfe: Sol (líneas línea 1, C3, C4).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d145f4c9594ed810VgnVCM1000001d4a900aRCRD";"MAYOR";"PLAZA";"V";"1";"";"";"";"";"MADRID";"MADRID";"28012";"6";"SOL";"1";"CENTRO";"440048";"4474064";"40.41504353587664";"-3.706628270874422";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
